,RunId,iteration,Step,largura,altura,density,survive,born,likeness,alive_cells,dead_cells
0,0,0,250,50,50,0.5,23,3,0.9328,0.0944,0.8848
1,1,1,250,50,50,0.5,23,3,0.9952,0.0208,0.9496
2,2,2,250,50,50,0.5,23,3,0.9824,0.0508,0.9256
3,3,3,250,50,50,0.5,23,3,0.9456,0.074,0.9124
4,4,4,250,50,50,0.5,23,3,0.9856,0.0448,0.924
5,5,5,250,50,50,0.5,23,3,0.9856,0.0348,0.95
6,6,6,250,50,50,0.5,23,3,0.9796,0.038,0.9388
7,7,7,250,50,50,0.5,23,3,0.9952,0.0388,0.9392
8,8,8,250,50,50,0.5,23,3,0.9656,0.058,0.9324
9,9,9,250,50,50,0.5,23,3,0.9628,0.0448,0.9276
10,10,10,250,50,50,0.5,23,3,0.9916,0.0388,0.9384
11,11,11,250,50,50,0.5,23,3,0.9556,0.0604,0.9208
12,12,12,250,50,50,0.5,23,3,0.9612,0.0668,0.916
13,13,13,250,50,50,0.5,23,3,0.9752,0.0348,0.9368
14,14,14,250,50,50,0.5,23,3,0.9872,0.0332,0.9332
15,15,15,250,50,50,0.5,23,3,0.9936,0.0288,0.938
16,16,16,250,50,50,0.5,23,3,0.9448,0.086,0.9008
17,17,17,250,50,50,0.5,23,3,0.9516,0.0592,0.914
18,18,18,250,50,50,0.5,23,3,0.9776,0.054,0.9328
19,19,19,250,50,50,0.5,23,3,0.9724,0.0572,0.9204
20,20,20,250,50,50,0.5,23,3,0.9544,0.0788,0.886
21,21,21,250,50,50,0.5,23,3,0.9764,0.0412,0.9212
22,22,22,250,50,50,0.5,23,3,0.992,0.034,0.9244
23,23,23,250,50,50,0.5,23,3,0.9356,0.0772,0.8996
24,24,24,250,50,50,0.5,23,3,0.998,0.0256,0.9352
25,25,25,250,50,50,0.5,23,3,0.9984,0.018,0.9352
26,26,26,250,50,50,0.5,23,3,0.9916,0.0376,0.9504
27,27,27,250,50,50,0.5,23,3,0.9724,0.0716,0.902
28,28,28,250,50,50,0.5,23,3,0.9856,0.0264,0.948
29,29,29,250,50,50,0.5,23,3,0.9752,0.0456,0.9228
30,30,30,250,50,50,0.5,23,3,0.9804,0.0596,0.9256
31,31,31,250,50,50,0.5,23,3,0.9796,0.0524,0.9068
32,32,32,250,50,50,0.5,23,3,0.9312,0.0844,0.8904
33,33,33,250,50,50,0.5,23,3,0.9644,0.066,0.9176
34,34,34,250,50,50,0.5,23,3,0.9748,0.0524,0.9096
35,35,35,250,50,50,0.5,23,3,0.9636,0.0632,0.9272
36,36,36,250,50,50,0.5,23,3,0.97,0.07,0.9124
37,37,37,250,50,50,0.5,23,3,0.98,0.0556,0.9316
38,38,38,250,50,50,0.5,23,3,0.9816,0.0384,0.932
39,39,39,250,50,50,0.5,23,3,0.9568,0.0632,0.9168
40,40,40,250,50,50,0.5,23,3,0.9904,0.036,0.9316
41,41,41,250,50,50,0.5,23,3,0.9768,0.0532,0.9052
42,42,42,250,50,50,0.5,23,3,0.988,0.0328,0.9264
43,43,43,250,50,50,0.5,23,3,0.9968,0.0192,0.9556
44,44,44,250,50,50,0.5,23,3,0.9936,0.0336,0.9472
45,45,45,250,50,50,0.5,23,3,0.966,0.0656,0.9148
46,46,46,250,50,50,0.5,23,3,0.9392,0.0716,0.9048
47,47,47,250,50,50,0.5,23,3,0.9292,0.0852,0.8964
48,48,48,250,50,50,0.5,23,3,0.9624,0.0524,0.934
49,49,49,250,50,50,0.5,23,3,0.9836,0.0528,0.9164
