,RunId,iteration,Step,largura,altura,density,rule,alive_cells,dead_cells,average_rule,likeness,len_rule,len_born,len_survive
0,0,0,350,50,50,0.5,B478695/S2,0.17120000000000002,0.8288,0.3076923076923077,1.0,5,6,1
1,1,0,350,50,50,0.5,B681237594/S346921,0.6115999999999999,0.3884,0.8333333333333334,0.2988,3,9,6
2,2,0,350,50,50,0.5,B93817645/S73412,0.6556,0.3444,0.6325581395348837,0.3624,3,8,5
3,3,0,350,50,50,0.5,B537126894/S7286,0.6112,0.3888,1.15,0.2336,5,9,4
4,4,0,350,50,50,0.5,B6148/S2941,0.44399999999999995,0.556,0.8421052631578947,0.5584,0,4,4
5,5,0,350,50,50,0.5,B18943/S624897,0.5156000000000001,0.4844,1.2,0.548,1,5,6
6,6,0,350,50,50,0.5,B2158/S291,0.37639999999999996,0.6236,1.0,0.38,1,4,3
7,7,0,350,50,50,0.5,B8694/S6943,0.16559999999999997,0.8344,0.8148148148148148,1.0,0,4,4
8,8,0,350,50,50,0.5,B132459/S987,0.504,0.496,2.0,0.0596,3,6,3
9,9,0,350,50,50,0.5,B743258/S15426,0.6548,0.3452,0.7448275862068966,0.508,1,6,5
10,10,0,350,50,50,0.5,B82/S7193,0.3284,0.6716,1.0,0.6292,2,2,4
11,11,0,350,50,50,0.5,B6289/S1768324,0.5504,0.4496,0.7085714285714286,0.9928,3,4,7
12,12,0,350,50,50,0.5,B48139765/S3,0.4992,0.5008,0.5581395348837209,0.1924,7,8,1
13,13,0,350,50,50,0.5,B618435279/S91267,0.5896,0.4104,1.0,0.1784,4,9,5
14,14,0,350,50,50,0.5,B13/S19286475,0.8004,0.1996,2.625,0.9808,6,2,8
15,15,0,350,50,50,0.5,B931462/S658,0.5472,0.4528,1.5199999999999998,0.386,3,6,3
16,16,0,350,50,50,0.5,B518/S8,0.256,0.744,1.7142857142857142,0.5068,2,3,1
17,17,0,350,50,50,0.5,B419/S495231,0.7656000000000001,0.2344,0.8571428571428571,0.9924,3,3,6
18,18,0,350,50,50,0.5,B5714623/S529146,0.6972,0.3028,1.125,0.376,1,7,6
19,19,0,350,50,50,0.5,B48312/S685,0.5024,0.4976,1.759259259259259,0.3948,2,5,3
20,20,0,350,50,50,0.5,B628714935/S4259173,0.7196,0.2804,0.8857142857142858,0.438,2,9,7
21,21,0,350,50,50,0.5,B75/S4359182,0.4888,0.5112,0.7619047619047619,0.9812,5,2,7
22,22,0,350,50,50,0.5,B463791/S4137568,0.9876,0.0124,0.9714285714285713,1.0,1,6,7
23,23,0,350,50,50,0.5,B781459263/S971,0.49839999999999995,0.5016,1.1333333333333333,0.014,6,9,3
24,24,0,350,50,50,0.5,B31549/S21835794,0.6908000000000001,0.3092,1.1079545454545454,0.726,3,5,8
25,25,0,350,50,50,0.5,B689251/S23,0.46640000000000004,0.5336,0.48387096774193544,0.4636,4,6,2
26,26,0,350,50,50,0.5,B837/S1347259,0.7388,0.2612,0.7380952380952381,0.9852,4,3,7
27,27,0,350,50,50,0.5,B238154/S9,0.5036,0.4964,2.3478260869565215,0.0212,5,6,1
