,RunId,iteration,Step,largura,altura,density,survive,born,likeness,alive_cells,dead_cells
0,0,0,250,50,50,0.5,23,3,0.9756,0.0432,0.9416
1,1,0,250,50,50,0.5,23,36,0.9828,0.0412,0.94
2,2,0,250,50,50,0.5,23,1,0.9648,0.3944,0.5924
3,3,1,250,50,50,0.5,23,3,0.9852,0.0516,0.924
4,4,1,250,50,50,0.5,23,36,0.988,0.0404,0.9364
5,5,1,250,50,50,0.5,23,1,0.9644,0.4008,0.5692
6,6,0,250,50,50,0.5,12,3,1.0,0.0328,0.7416
7,7,0,250,50,50,0.5,12,36,1.0,0.028,0.8692
8,8,0,250,50,50,0.5,12,1,0.9924,0.3904,0.4944
9,9,2,250,50,50,0.5,23,3,0.9648,0.084,0.8972
10,10,2,250,50,50,0.5,23,36,0.9756,0.0552,0.9376
11,11,2,250,50,50,0.5,23,1,0.964,0.4024,0.5588
12,12,3,250,50,50,0.5,23,3,0.9512,0.074,0.9092
13,13,3,250,50,50,0.5,23,36,0.9692,0.0456,0.95
14,14,3,250,50,50,0.5,23,1,0.962,0.4016,0.5832
15,15,1,250,50,50,0.5,12,3,1.0,0.034,0.7392
16,16,1,250,50,50,0.5,12,36,1.0,0.0408,0.832
17,17,1,250,50,50,0.5,12,1,0.99,0.3896,0.4884
18,18,4,250,50,50,0.5,23,3,0.992,0.0276,0.8992
19,19,4,250,50,50,0.5,23,36,0.9764,0.048,0.9328
20,20,4,250,50,50,0.5,23,1,0.9704,0.4044,0.5716
21,21,5,250,50,50,0.5,23,3,0.9584,0.058,0.9144
22,22,5,250,50,50,0.5,23,36,0.9624,0.0564,0.9356
23,23,5,250,50,50,0.5,23,1,0.9668,0.396,0.5896
24,24,2,250,50,50,0.5,12,3,1.0,0.0372,0.7644
25,25,2,250,50,50,0.5,12,36,1.0,0.0356,0.864
26,26,2,250,50,50,0.5,12,1,0.992,0.3832,0.518
27,27,6,250,50,50,0.5,23,3,0.9516,0.0988,0.8748
28,28,6,250,50,50,0.5,23,36,0.984,0.032,0.954
29,29,6,250,50,50,0.5,23,1,0.9568,0.3952,0.5908
30,30,7,250,50,50,0.5,23,3,0.9952,0.0308,0.932
31,31,7,250,50,50,0.5,23,36,0.982,0.0468,0.9476
32,32,7,250,50,50,0.5,23,1,0.9596,0.4024,0.588
33,33,3,250,50,50,0.5,12,3,1.0,0.0312,0.7536
34,34,3,250,50,50,0.5,12,36,1.0,0.0332,0.8424
35,35,3,250,50,50,0.5,12,1,0.9952,0.3876,0.494
36,36,8,250,50,50,0.5,23,3,0.968,0.0632,0.9156
37,37,8,250,50,50,0.5,23,36,0.9908,0.0352,0.9464
38,38,8,250,50,50,0.5,23,1,0.9696,0.4036,0.5768
39,39,9,250,50,50,0.5,23,3,0.992,0.0308,0.946
40,40,9,250,50,50,0.5,23,36,0.9508,0.0756,0.9192
41,41,9,250,50,50,0.5,23,1,0.9776,0.4068,0.5688
42,42,4,250,50,50,0.5,12,3,1.0,0.0364,0.7388
43,43,4,250,50,50,0.5,12,36,0.996,0.0404,0.8348
44,44,4,250,50,50,0.5,12,1,0.996,0.3996,0.5052
