,RunId,iteration,Step,largura,altura,density,rule,likeness,alive_cells,dead_cells
0,0,0,250,50,50,0.5,B3/S23,0.95,0.068,0.902
1,1,0,250,50,50,0.5,B6/S16,1.0,0.016,0.5472
2,2,0,250,50,50,0.5,B36/S23,0.962,0.0664,0.922
3,3,1,250,50,50,0.5,B3/S23,0.9668,0.072,0.9
4,4,1,250,50,50,0.5,B6/S16,1.0,0.0184,0.5452
5,5,1,250,50,50,0.5,B36/S23,0.9852,0.0312,0.9444
6,6,2,250,50,50,0.5,B3/S23,0.986,0.0424,0.9308
7,7,2,250,50,50,0.5,B6/S16,1.0,0.0136,0.5416
8,8,2,250,50,50,0.5,B36/S23,0.9804,0.0328,0.9536
9,9,3,250,50,50,0.5,B3/S23,0.9392,0.0852,0.9068
10,10,3,250,50,50,0.5,B6/S16,1.0,0.0192,0.5152
11,11,3,250,50,50,0.5,B36/S23,0.9436,0.0712,0.9196
12,12,4,250,50,50,0.5,B3/S23,0.9164,0.0948,0.8852
13,13,4,250,50,50,0.5,B6/S16,1.0,0.0144,0.5448
14,14,4,250,50,50,0.5,B36/S23,0.972,0.0472,0.9352
