;RunId;iteration;Step;largura;altura;density;rule;likeness;alive_cells;dead_cells
0;0;0;250;50;50;0.5;B3/S23;0.9828;0.0412;0.938
1;1;0;250;50;50;0.5;B6/S16;1.0;0.0184;0.5284
2;2;0;250;50;50;0.5;B36/S23;0.9652;0.0548;0.9376
3;3;1;250;50;50;0.5;B3/S23;0.9792;0.0316;0.9344
4;4;1;250;50;50;0.5;B6/S16;1.0;0.0256;0.532
5;5;1;250;50;50;0.5;B36/S23;0.9984;0.028;0.9592
6;6;2;250;50;50;0.5;B3/S23;0.9716;0.0428;0.9276
7;7;2;250;50;50;0.5;B6/S16;1.0;0.0136;0.528
8;8;2;250;50;50;0.5;B36/S23;0.9856;0.038;0.9524
9;9;3;250;50;50;0.5;B3/S23;0.974;0.0404;0.932
10;10;3;250;50;50;0.5;B6/S16;1.0;0.0192;0.5156
11;11;3;250;50;50;0.5;B36/S23;0.9984;0.0272;0.9636
12;12;4;250;50;50;0.5;B3/S23;0.9484;0.0668;0.9188
13;13;4;250;50;50;0.5;B6/S16;1.0;0.016;0.538
14;14;4;250;50;50;0.5;B36/S23;1.0;0.0232;0.9688
