;RunId;iteration;Step;largura;altura;density;rule;likeness;alive_cells;dead_cells;average_rule
0;0;0;500;50;50;0.5;B3/S23;0.9696;0.0344;0.9364;0.8333333333333334
1;1;0;500;50;50;0.5;B6/S16;1.0;0.016;0.5252;0.5833333333333334
2;2;0;500;50;50;0.5;B36/S23;0.9808;0.034;0.958;0.5555555555555556
3;3;0;500;50;50;0.5;B1357/S1357;0.5052;0.5012;0.4988;1.0
4;4;1;500;50;50;0.5;B3/S23;0.9792;0.0532;0.9288;0.8333333333333334
5;5;1;500;50;50;0.5;B6/S16;1.0;0.0168;0.5412;0.5833333333333334
6;6;1;500;50;50;0.5;B36/S23;0.9952;0.0208;0.9704;0.5555555555555556
7;7;1;500;50;50;0.5;B1357/S1357;0.502;0.4848;0.5152;1.0
8;8;2;500;50;50;0.5;B3/S23;0.9952;0.0236;0.9608;0.8333333333333334
9;9;2;500;50;50;0.5;B6/S16;1.0;0.016;0.5492;0.5833333333333334
10;10;2;500;50;50;0.5;B36/S23;0.9712;0.0432;0.942;0.5555555555555556
11;11;2;500;50;50;0.5;B1357/S1357;0.5152;0.52;0.48;1.0
12;12;3;500;50;50;0.5;B3/S23;0.984;0.0328;0.9508;0.8333333333333334
13;13;3;500;50;50;0.5;B6/S16;1.0;0.012;0.5416;0.5833333333333334
14;14;3;500;50;50;0.5;B36/S23;0.9856;0.046;0.9408;0.5555555555555556
15;15;3;500;50;50;0.5;B1357/S1357;0.486;0.4948;0.5052;1.0
16;16;4;500;50;50;0.5;B3/S23;0.9968;0.0348;0.9164;0.8333333333333334
17;17;4;500;50;50;0.5;B6/S16;1.0;0.0216;0.5236;0.5833333333333334
18;18;4;500;50;50;0.5;B36/S23;0.9852;0.0372;0.9536;0.5555555555555556
19;19;4;500;50;50;0.5;B1357/S1357;0.5048;0.4948;0.5052;1.0
20;20;5;500;50;50;0.5;B3/S23;0.9872;0.0364;0.9512;0.8333333333333334
21;21;5;500;50;50;0.5;B6/S16;1.0;0.0208;0.492;0.5833333333333334
22;22;5;500;50;50;0.5;B36/S23;0.9856;0.034;0.9456;0.5555555555555556
23;23;5;500;50;50;0.5;B1357/S1357;0.4852;0.4756;0.5244;1.0
24;24;6;500;50;50;0.5;B3/S23;0.9968;0.0328;0.9376;0.8333333333333334
25;25;6;500;50;50;0.5;B6/S16;1.0;0.02;0.5136;0.5833333333333334
26;26;6;500;50;50;0.5;B36/S23;0.988;0.0268;0.9612;0.5555555555555556
27;27;6;500;50;50;0.5;B1357/S1357;0.4932;0.4984;0.5016;1.0
28;28;7;500;50;50;0.5;B3/S23;0.992;0.026;0.934;0.8333333333333334
29;29;7;500;50;50;0.5;B6/S16;1.0;0.0248;0.5124;0.5833333333333334
30;30;7;500;50;50;0.5;B36/S23;0.9952;0.0232;0.9612;0.5555555555555556
31;31;7;500;50;50;0.5;B1357/S1357;0.482;0.5056;0.4944;1.0
32;32;8;500;50;50;0.5;B3/S23;0.9872;0.034;0.9316;0.8333333333333334
33;33;8;500;50;50;0.5;B6/S16;1.0;0.0208;0.522;0.5833333333333334
34;34;8;500;50;50;0.5;B36/S23;1.0;0.0324;0.9444;0.5555555555555556
35;35;8;500;50;50;0.5;B1357/S1357;0.498;0.4876;0.5124;1.0
36;36;9;500;50;50;0.5;B3/S23;0.9684;0.054;0.9276;0.8333333333333334
37;37;9;500;50;50;0.5;B6/S16;1.0;0.0272;0.548;0.5833333333333334
38;38;9;500;50;50;0.5;B36/S23;0.9968;0.014;0.9772;0.5555555555555556
39;39;9;500;50;50;0.5;B1357/S1357;0.488;0.4976;0.5024;1.0
40;40;10;500;50;50;0.5;B3/S23;0.9904;0.0488;0.908;0.8333333333333334
41;41;10;500;50;50;0.5;B6/S16;1.0;0.024;0.4988;0.5833333333333334
42;42;10;500;50;50;0.5;B36/S23;0.986;0.034;0.9492;0.5555555555555556
43;43;10;500;50;50;0.5;B1357/S1357;0.4924;0.4972;0.5028;1.0
44;44;11;500;50;50;0.5;B3/S23;0.9632;0.0724;0.9152;0.8333333333333334
45;45;11;500;50;50;0.5;B6/S16;1.0;0.0224;0.5376;0.5833333333333334
46;46;11;500;50;50;0.5;B36/S23;0.9968;0.0356;0.9584;0.5555555555555556
47;47;11;500;50;50;0.5;B1357/S1357;0.4908;0.4968;0.5032;1.0
48;48;12;500;50;50;0.5;B3/S23;0.984;0.0328;0.96;0.8333333333333334
49;49;12;500;50;50;0.5;B6/S16;1.0;0.0176;0.5384;0.5833333333333334
50;50;12;500;50;50;0.5;B36/S23;0.9952;0.028;0.9616;0.5555555555555556
51;51;12;500;50;50;0.5;B1357/S1357;0.5004;0.5;0.5;1.0
52;52;13;500;50;50;0.5;B3/S23;0.9936;0.0492;0.8992;0.8333333333333334
53;53;13;500;50;50;0.5;B6/S16;1.0;0.0152;0.5452;0.5833333333333334
54;54;13;500;50;50;0.5;B36/S23;0.9952;0.0276;0.966;0.5555555555555556
55;55;13;500;50;50;0.5;B1357/S1357;0.4996;0.5068;0.4932;1.0
56;56;14;500;50;50;0.5;B3/S23;0.9856;0.034;0.8984;0.8333333333333334
57;57;14;500;50;50;0.5;B6/S16;1.0;0.0176;0.5452;0.5833333333333334
58;58;14;500;50;50;0.5;B36/S23;0.9968;0.038;0.9388;0.5555555555555556
59;59;14;500;50;50;0.5;B1357/S1357;0.49;0.4872;0.5128;1.0
