;RunId;iteration;Step;largura;altura;density;rule;alive_cells;dead_cells;average_rule;likeness
0;0;0;500;50;50;0.5;B2/S34;0.3312;0.6688;0.5714285714285714;0.6384
1;1;0;500;50;50;0.5;B3/S23;0.0376;0.9308;0.8333333333333334;0.988
2;2;0;500;50;50;0.5;B6/S16;0.0144;0.5324;0.5833333333333334;1.0
3;3;0;500;50;50;0.5;B36/S23;0.0172;0.9808;0.5555555555555556;0.9952
4;4;0;500;50;50;0.5;B1357/S1357;0.4884;0.5116;1.0;0.4972
5;5;0;500;50;50;0.5;B34/S34;0.392;0.608;1.0;0.5592
6;6;0;500;50;50;0.5;B15/S28;0.2748;0.7252;0.6;0.588
7;7;1;500;50;50;0.5;B2/S34;0.3124;0.6876;0.5714285714285714;0.6416
8;8;1;500;50;50;0.5;B3/S23;0.0388;0.9384;0.8333333333333334;0.9872
9;9;1;500;50;50;0.5;B6/S16;0.0208;0.504;0.5833333333333334;1.0
10;10;1;500;50;50;0.5;B36/S23;0.098;0.89;0.5555555555555556;0.9196
11;11;1;500;50;50;0.5;B1357/S1357;0.5004;0.4996;1.0;0.4996
12;12;1;500;50;50;0.5;B34/S34;0.4144;0.5852;1.0;0.5632
13;13;1;500;50;50;0.5;B15/S28;0.2692;0.7308;0.6;0.5936
14;14;2;500;50;50;0.5;B2/S34;0.3184;0.6816;0.5714285714285714;0.6324
15;15;2;500;50;50;0.5;B3/S23;0.0272;0.938;0.8333333333333334;0.986
16;16;2;500;50;50;0.5;B6/S16;0.024;0.5452;0.5833333333333334;1.0
17;17;2;500;50;50;0.5;B36/S23;0.048;0.9412;0.5555555555555556;0.9756
18;18;2;500;50;50;0.5;B1357/S1357;0.5032;0.4968;1.0;0.4976
19;19;2;500;50;50;0.5;B34/S34;0.3912;0.6088;1.0;0.582
20;20;2;500;50;50;0.5;B15/S28;0.2976;0.7024;0.6;0.5736
21;21;3;500;50;50;0.5;B2/S34;0.3368;0.6632;0.5714285714285714;0.606
22;22;3;500;50;50;0.5;B3/S23;0.0288;0.9384;0.8333333333333334;0.992
23;23;3;500;50;50;0.5;B6/S16;0.0168;0.5312;0.5833333333333334;1.0
24;24;3;500;50;50;0.5;B36/S23;0.0416;0.9424;0.5555555555555556;0.9772
25;25;3;500;50;50;0.5;B1357/S1357;0.484;0.516;1.0;0.5012
26;26;3;500;50;50;0.5;B34/S34;0.4132;0.5868;1.0;0.5612
27;27;3;500;50;50;0.5;B15/S28;0.2856;0.7144;0.6;0.5904
28;28;4;500;50;50;0.5;B2/S34;0.308;0.692;0.5714285714285714;0.6296
29;29;4;500;50;50;0.5;B3/S23;0.0384;0.92;0.8333333333333334;0.9904
30;30;4;500;50;50;0.5;B6/S16;0.016;0.5528;0.5833333333333334;1.0
31;31;4;500;50;50;0.5;B36/S23;0.0224;0.97;0.5555555555555556;0.9888
32;32;4;500;50;50;0.5;B1357/S1357;0.5236;0.4764;1.0;0.4872
33;33;4;500;50;50;0.5;B34/S34;0.4036;0.5964;1.0;0.5604
34;34;4;500;50;50;0.5;B15/S28;0.2824;0.7176;0.6;0.586
35;35;5;500;50;50;0.5;B2/S34;0.304;0.696;0.5714285714285714;0.66
36;36;5;500;50;50;0.5;B3/S23;0.0328;0.9656;0.8333333333333334;0.9808
37;37;5;500;50;50;0.5;B6/S16;0.0232;0.5436;0.5833333333333334;1.0
38;38;5;500;50;50;0.5;B36/S23;0.038;0.9516;0.5555555555555556;0.9856
39;39;5;500;50;50;0.5;B1357/S1357;0.5;0.5;1.0;0.5036
40;40;5;500;50;50;0.5;B34/S34;0.4112;0.5888;1.0;0.5592
41;41;5;500;50;50;0.5;B15/S28;0.2836;0.7164;0.6;0.5948
42;42;6;500;50;50;0.5;B2/S34;0.3076;0.6924;0.5714285714285714;0.6308
43;43;6;500;50;50;0.5;B3/S23;0.028;0.9444;0.8333333333333334;0.9872
44;44;6;500;50;50;0.5;B6/S16;0.0208;0.5604;0.5833333333333334;1.0
45;45;6;500;50;50;0.5;B36/S23;0.0484;0.9444;0.5555555555555556;0.9736
46;46;6;500;50;50;0.5;B1357/S1357;0.4908;0.5092;1.0;0.4748
47;47;6;500;50;50;0.5;B34/S34;0.3944;0.6048;1.0;0.5888
48;48;6;500;50;50;0.5;B15/S28;0.2796;0.7204;0.6;0.5976
49;49;7;500;50;50;0.5;B2/S34;0.322;0.678;0.5714285714285714;0.6492
50;50;7;500;50;50;0.5;B3/S23;0.0512;0.9208;0.8333333333333334;0.9856
51;51;7;500;50;50;0.5;B6/S16;0.0248;0.5292;0.5833333333333334;1.0
52;52;7;500;50;50;0.5;B36/S23;0.0152;0.9776;0.5555555555555556;1.0
53;53;7;500;50;50;0.5;B1357/S1357;0.5156;0.4844;1.0;0.5012
54;54;7;500;50;50;0.5;B34/S34;0.3988;0.6004;1.0;0.542
55;55;7;500;50;50;0.5;B15/S28;0.2816;0.7184;0.6;0.5856
56;56;8;500;50;50;0.5;B2/S34;0.3132;0.6868;0.5714285714285714;0.648
57;57;8;500;50;50;0.5;B3/S23;0.03;0.9548;0.8333333333333334;0.9888
58;58;8;500;50;50;0.5;B6/S16;0.0208;0.5264;0.5833333333333334;1.0
59;59;8;500;50;50;0.5;B36/S23;0.0452;0.9496;0.5555555555555556;0.9796
60;60;8;500;50;50;0.5;B1357/S1357;0.4904;0.5096;1.0;0.5076
61;61;8;500;50;50;0.5;B34/S34;0.4172;0.5828;1.0;0.556
62;62;8;500;50;50;0.5;B15/S28;0.272;0.728;0.6;0.5804
63;63;9;500;50;50;0.5;B2/S34;0.328;0.672;0.5714285714285714;0.6428
