,RunId,iteration,Step,largura,altura,density,rule,alive_cells,dead_cells,average_rule,likeness
0,0,0,500,50,50,0.5,B2/S34,0.3236,0.6764,1.75,0.6588
1,1,0,500,50,50,0.5,B3/S23,0.0208,0.9456,0.8333333333333334,0.9856
2,2,0,500,50,50,0.5,B6/S16,0.0248,0.5392,0.5833333333333334,1.0
3,3,0,500,50,50,0.5,B36/S23,0.0132,0.9772,0.5555555555555556,0.9952
4,4,0,500,50,50,0.5,B1357/S1357,0.4924,0.5076,1.0,0.4924
5,5,0,500,50,50,0.5,B34/S34,0.4224,0.5776,1.0,0.54
6,6,0,500,50,50,0.5,B15/S28,0.2808,0.7192,1.6666666666666667,0.6156
7,7,1,500,50,50,0.5,B2/S34,0.3236,0.6764,1.75,0.6452
8,8,1,500,50,50,0.5,B3/S23,0.0556,0.9216,0.8333333333333334,0.962
9,9,1,500,50,50,0.5,B6/S16,0.0136,0.5192,0.5833333333333334,1.0
10,10,1,500,50,50,0.5,B36/S23,0.0444,0.9496,0.5555555555555556,0.9712
11,11,1,500,50,50,0.5,B1357/S1357,0.4884,0.5116,1.0,0.5076
12,12,1,500,50,50,0.5,B34/S34,0.3988,0.6008,1.0,0.5672
13,13,1,500,50,50,0.5,B15/S28,0.2824,0.7176,1.6666666666666667,0.6
14,14,2,500,50,50,0.5,B2/S34,0.3204,0.6796,1.75,0.654
15,15,2,500,50,50,0.5,B3/S23,0.0228,0.9616,0.8333333333333334,0.9936
16,16,2,500,50,50,0.5,B6/S16,0.0168,0.5388,0.5833333333333334,1.0
17,17,2,500,50,50,0.5,B36/S23,0.0328,0.9592,0.5555555555555556,0.992
18,18,2,500,50,50,0.5,B1357/S1357,0.486,0.514,1.0,0.504
19,19,2,500,50,50,0.5,B34/S34,0.3988,0.6012,1.0,0.5728
20,20,2,500,50,50,0.5,B15/S28,0.2972,0.7028,1.6666666666666667,0.5864
21,21,3,500,50,50,0.5,B2/S34,0.3024,0.6976,1.75,0.6396
22,22,3,500,50,50,0.5,B3/S23,0.0388,0.9236,0.8333333333333334,0.9968
23,23,3,500,50,50,0.5,B6/S16,0.0208,0.5284,0.5833333333333334,1.0
24,24,3,500,50,50,0.5,B36/S23,0.0312,0.9596,0.5555555555555556,0.984
25,25,3,500,50,50,0.5,B1357/S1357,0.5008,0.4992,1.0,0.48
