;RunId;iteration;Step;largura;altura;density;rule;alive_cells;dead_cells;average_rule;likeness;len_rule;len_born;len_survive
0;0;0;350;50;50;0.5;B5/S9614578;0.5456;0.4544;1.1428571428571428;1.0;-6;1;7
1;1;0;350;50;50;0.5;B7/S96;0.48319999999999996;0.5168;1.0714285714285714;1.0;-1;1;2
2;2;0;350;50;50;0.5;B4/S17659348;0.9492;0.0508;1.34375;1.0;-7;1;8
3;3;0;350;50;50;0.5;B293746/S984153;0.6408;0.3592;0.9677419354838709;0.4756;0;6;6
4;4;0;350;50;50;0.5;B5/S39574826;0.9724;0.0276;1.1;1.0;-7;1;8
5;5;1;350;50;50;0.5;B5/S9614578;0.5876;0.4124;1.1428571428571428;1.0;-6;1;7
6;6;1;350;50;50;0.5;B7/S96;0.49319999999999997;0.5068;1.0714285714285714;1.0;-1;1;2
7;7;1;350;50;50;0.5;B4/S17659348;0.9488;0.0512;1.34375;1.0;-7;1;8
8;8;1;350;50;50;0.5;B293746/S984153;0.6108;0.3892;0.9677419354838709;0.4532;0;6;6
9;9;1;350;50;50;0.5;B5/S39574826;0.978;0.022;1.1;1.0;-7;1;8
10;10;2;350;50;50;0.5;B5/S9614578;0.5272;0.4728;1.1428571428571428;1.0;-6;1;7
11;11;2;350;50;50;0.5;B7/S96;0.48160000000000003;0.5184;1.0714285714285714;1.0;-1;1;2
12;12;2;350;50;50;0.5;B4/S17659348;0.9616;0.0384;1.34375;1.0;-7;1;8
13;13;2;350;50;50;0.5;B293746/S984153;0.6172;0.3828;0.9677419354838709;0.4648;0;6;6
14;14;2;350;50;50;0.5;B5/S39574826;0.9772;0.0228;1.1;1.0;-7;1;8
